,Date,Location,Administered_Dose1_Recip_5PlusPop_Pct,Additional_Doses_Vax_Pct,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus_Vax_Pct
35724,2020-12-14,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35648,2020-12-15,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35583,2020-12-16,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35551,2020-12-17,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35539,2020-12-18,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35514,2020-12-19,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35420,2020-12-20,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35377,2020-12-21,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35335,2020-12-22,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35282,2020-12-23,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35184,2020-12-24,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35135,2020-12-25,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35111,2020-12-26,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35036,2020-12-27,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34968,2020-12-28,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34893,2020-12-29,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34831,2020-12-30,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34763,2020-12-31,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34708,2021-01-01,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34629,2021-01-02,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34547,2021-01-03,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34502,2021-01-04,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34410,2021-01-05,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34379,2021-01-06,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34331,2021-01-07,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34276,2021-01-08,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34195,2021-01-09,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34147,2021-01-10,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34037,2021-01-11,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34017,2021-01-12,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33950,2021-01-13,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33865,2021-01-14,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33778,2021-01-15,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33699,2021-01-16,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33649,2021-01-17,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33596,2021-01-18,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33557,2021-01-19,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33445,2021-01-20,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33433,2021-01-21,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33314,2021-01-22,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33255,2021-01-23,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33228,2021-01-24,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33170,2021-01-25,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33066,2021-01-26,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33008,2021-01-27,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32931,2021-01-28,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32901,2021-01-29,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32833,2021-01-30,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32755,2021-01-31,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32706,2021-02-01,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32646,2021-02-02,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32589,2021-02-03,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32475,2021-02-04,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32437,2021-02-05,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32389,2021-02-06,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32274,2021-02-07,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32212,2021-02-08,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32149,2021-02-09,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32123,2021-02-10,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32069,2021-02-11,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13295,2021-02-12,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32040,2021-02-13,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31956,2021-02-14,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31867,2021-02-15,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31848,2021-02-16,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31739,2021-02-17,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31666,2021-02-18,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31594,2021-02-19,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31579,2021-02-20,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31509,2021-02-21,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31401,2021-02-22,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31367,2021-02-23,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31270,2021-02-24,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31239,2021-02-25,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31146,2021-02-26,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31131,2021-02-27,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31051,2021-02-28,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2021-03-01,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2021-03-02,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28105,2021-03-03,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31046,2021-03-04,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31010,2021-03-05,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30918,2021-03-06,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30907,2021-03-07,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30800,2021-03-08,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30761,2021-03-09,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30685,2021-03-10,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30606,2021-03-11,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30553,2021-03-12,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30473,2021-03-13,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30394,2021-03-14,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30366,2021-03-15,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30262,2021-03-16,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30188,2021-03-17,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30154,2021-03-18,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30065,2021-03-19,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30024,2021-03-20,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29956,2021-03-21,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29858,2021-03-22,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29810,2021-03-23,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29791,2021-03-24,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29672,2021-03-25,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29656,2021-03-26,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
