,Date,Series_Complete_Pop_Pct,Series_Complete_5PlusPop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct
35724,2020-12-14,0.0,0.0,0.0,0.0,0.0
35648,2020-12-15,0.0,0.0,0.0,0.0,0.0
35583,2020-12-16,0.0,0.0,0.0,0.0,0.0
35551,2020-12-17,0.0,0.0,0.0,0.0,0.0
35539,2020-12-18,0.0,0.0,0.0,0.0,0.0
35514,2020-12-19,0.0,0.0,0.0,0.0,0.0
35420,2020-12-20,0.0,0.0,0.0,0.0,0.0
35377,2020-12-21,0.0,0.0,0.0,0.0,0.0
35335,2020-12-22,0.0,0.0,0.0,0.0,0.0
35282,2020-12-23,0.0,0.0,0.0,0.0,0.0
35184,2020-12-24,0.0,0.0,0.0,0.0,0.0
35135,2020-12-25,0.0,0.0,0.0,0.0,0.0
35111,2020-12-26,0.0,0.0,0.0,0.0,0.0
35036,2020-12-27,0.0,0.0,0.0,0.0,0.0
34968,2020-12-28,0.0,0.0,0.0,0.0,0.0
34893,2020-12-29,0.0,0.0,0.0,0.0,0.0
34831,2020-12-30,0.0,0.0,0.0,0.0,0.0
34763,2020-12-31,0.0,0.0,0.0,0.0,0.0
34708,2021-01-01,0.0,0.0,0.0,0.0,0.0
34629,2021-01-02,0.0,0.0,0.0,0.0,0.0
34547,2021-01-03,0.0,0.0,0.0,0.0,0.0
34502,2021-01-04,0.0,0.0,0.0,0.0,0.0
34410,2021-01-05,0.0,0.0,0.0,0.0,0.0
34379,2021-01-06,0.0,0.0,0.0,0.0,0.0
34331,2021-01-07,0.0,0.0,0.0,0.0,0.0
34276,2021-01-08,0.0,0.0,0.0,0.0,0.0
34195,2021-01-09,0.0,0.0,0.0,0.0,0.0
34147,2021-01-10,0.0,0.0,0.0,0.0,0.0
34037,2021-01-11,0.0,0.0,0.0,0.0,0.0
34017,2021-01-12,0.0,0.0,0.0,0.0,0.0
33950,2021-01-13,0.0,0.0,0.0,0.0,0.0
33865,2021-01-14,0.0,0.0,0.0,0.0,0.0
33778,2021-01-15,0.0,0.0,0.0,0.0,0.0
33699,2021-01-16,0.0,0.0,0.0,0.0,0.0
33649,2021-01-17,0.0,0.0,0.0,0.0,0.0
33596,2021-01-18,0.0,0.0,0.0,0.0,0.0
33557,2021-01-19,0.0,0.0,0.0,0.0,0.0
33445,2021-01-20,0.0,0.0,0.0,0.0,0.0
33433,2021-01-21,0.0,0.0,0.0,0.0,0.0
33314,2021-01-22,0.0,0.0,0.0,0.0,0.0
33255,2021-01-23,0.0,0.0,0.0,0.0,0.0
33228,2021-01-24,0.0,0.0,0.0,0.0,0.0
33170,2021-01-25,0.0,0.0,0.0,0.0,0.0
33066,2021-01-26,0.0,0.0,0.0,0.0,0.0
33008,2021-01-27,0.0,0.0,0.0,0.0,0.0
32931,2021-01-28,0.0,0.0,0.0,0.0,0.0
32901,2021-01-29,0.0,0.0,0.0,0.0,0.0
32833,2021-01-30,0.0,0.0,0.0,0.0,0.0
32755,2021-01-31,0.0,0.0,0.0,0.0,0.0
32706,2021-02-01,0.0,0.0,0.0,0.0,0.0
32646,2021-02-02,0.0,0.0,0.0,0.0,0.0
32589,2021-02-03,0.0,0.0,0.0,0.0,0.0
32475,2021-02-04,0.0,0.0,0.0,0.0,0.0
32437,2021-02-05,0.0,0.0,0.0,0.0,0.0
32389,2021-02-06,0.0,0.0,0.0,0.0,0.0
32274,2021-02-07,0.0,0.0,0.0,0.0,0.0
32212,2021-02-08,0.0,0.0,0.0,0.0,0.0
32149,2021-02-09,0.0,0.0,0.0,0.0,0.0
32123,2021-02-10,0.0,0.0,0.0,0.0,0.0
32069,2021-02-11,0.0,0.0,0.0,0.0,0.0
13295,2021-02-12,0.0,0.0,0.0,0.0,0.0
32040,2021-02-13,0.0,0.0,0.0,0.0,0.0
31956,2021-02-14,0.0,0.0,0.0,0.0,0.0
31867,2021-02-15,0.0,0.0,0.0,0.0,0.0
31848,2021-02-16,0.0,0.0,0.0,0.0,0.0
31739,2021-02-17,0.0,0.0,0.0,0.0,0.0
31666,2021-02-18,0.0,0.0,0.0,0.0,0.0
31594,2021-02-19,0.0,0.0,0.0,0.0,0.0
31579,2021-02-20,0.0,0.0,0.0,0.0,0.0
31509,2021-02-21,0.0,0.0,0.0,0.0,0.0
31401,2021-02-22,0.0,0.0,0.0,0.0,0.0
31367,2021-02-23,0.0,0.0,0.0,0.0,0.0
31270,2021-02-24,0.0,0.0,0.0,0.0,0.0
31239,2021-02-25,0.0,0.0,0.0,0.0,0.0
31146,2021-02-26,0.0,0.0,0.0,0.0,0.0
31131,2021-02-27,0.0,0.0,0.0,0.0,0.0
31051,2021-02-28,0.0,0.0,0.0,0.0,0.0
140,2021-03-01,0.0,0.0,0.0,0.0,0.0
99,2021-03-02,0.0,0.0,0.0,0.0,0.0
28105,2021-03-03,0.0,0.0,0.0,0.0,0.0
31046,2021-03-04,0.0,0.0,0.0,0.0,0.0
31010,2021-03-05,7.7,0.0,0.0,10.3,26.3
30918,2021-03-06,8.0,0.0,0.0,10.7,27.2
30907,2021-03-07,8.1,0.0,0.0,10.9,27.5
30800,2021-03-08,8.3,0.0,0.0,11.0,27.8
30761,2021-03-09,8.5,0.0,0.0,11.4,28.4
30685,2021-03-10,8.8,0.0,0.0,11.7,29.1
30606,2021-03-11,9.0,0.0,0.0,12.0,29.6
30553,2021-03-12,9.3,0.0,0.0,12.4,32.4
30473,2021-03-13,9.6,0.0,0.0,12.8,33.4
30394,2021-03-14,9.8,0.0,0.0,13.0,34.0
30366,2021-03-15,9.9,0.0,0.0,13.2,34.5
30262,2021-03-16,10.0,0.0,0.0,13.4,34.9
30188,2021-03-17,10.1,0.0,0.0,13.6,35.4
30154,2021-03-18,10.3,0.0,0.0,13.8,36.0
30065,2021-03-19,10.5,0.0,0.0,14.0,36.5
30024,2021-03-20,10.6,0.0,0.0,14.2,37.1
29956,2021-03-21,10.8,0.0,0.0,14.5,37.8
29858,2021-03-22,11.0,0.0,0.0,14.7,38.4
29810,2021-03-23,11.1,0.0,0.0,14.9,38.9
29791,2021-03-24,11.2,0.0,0.0,14.9,39.0
29672,2021-03-25,11.5,0.0,0.0,15.4,40.2
29656,2021-03-26,11.9,0.0,0.0,15.9,40.3
29564,2021-03-27,12.3,0.0,0.0,16.5,41.8
29488,2021-03-28,12.7,0.0,0.0,17.0,43.1
29437,2021-03-29,13.0,0.0,0.0,17.3,43.9
29348,2021-03-30,13.3,0.0,0.0,17.8,45.1
29308,2021-03-31,13.7,0.0,0.0,18.3,46.4
29250,2021-04-01,14.3,0.0,0.0,19.1,50.0
29169,2021-04-02,15.0,0.0,0.0,20.0,52.2
29105,2021-04-03,15.4,0.0,0.0,20.5,53.6
29048,2021-04-04,15.7,0.0,0.0,21.0,54.9
28999,2021-04-05,16.1,0.0,0.0,21.5,56.2
28894,2021-04-06,16.5,0.0,0.0,22.1,41.0
28885,2021-04-07,16.9,0.0,0.0,22.6,42.0
28822,2021-04-08,17.5,0.0,0.0,23.3,41.9
28738,2021-04-09,18.2,0.0,0.0,24.2,43.6
28654,2021-04-10,19.0,0.0,0.0,25.3,45.5
28625,2021-04-11,19.5,0.0,0.0,25.9,46.8
28509,2021-04-12,19.9,0.0,0.0,26.4,47.7
28484,2021-04-13,20.2,0.0,0.0,26.9,48.6
28413,2021-04-14,20.7,0.0,0.0,27.5,49.7
28353,2021-04-15,21.2,0.0,0.0,28.3,51.0
