Date,Second_Booster,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus_Vax_Pct
2022-04-22,0.0,0.1,0.2
2022-04-23,0.0,0.1,0.2
2022-04-24,0.0,0.1,0.2
2022-04-25,0.0,0.1,0.2
2022-04-26,0.0,9.2,12.4
2022-04-27,0.0,9.5,12.8
2022-04-28,0.0,9.8,13.2
2022-04-29,0.0,10.1,13.6
2022-04-30,0.0,10.3,14.0
2022-05-01,0.0,10.5,14.2
2022-05-02,0.0,10.6,14.3
2022-05-03,0.0,10.8,14.5
2022-05-04,0.0,11.0,14.9
2022-05-05,0.0,11.3,15.2
2022-05-06,0.0,11.6,15.6
2022-05-07,0.0,11.8,15.8
2022-05-08,0.0,12.0,16.1
2022-05-09,0.0,12.1,16.1
2022-05-10,0.0,12.2,16.3
2022-05-11,0.0,12.4,16.6
2022-05-12,0.0,12.7,16.9
2022-05-13,0.0,12.9,17.2
2022-05-14,0.0,13.2,17.6
2022-05-15,0.0,13.4,17.8
2022-05-16,0.0,13.5,17.9
2022-05-17,0.0,13.6,18.1
2022-05-18,0.0,13.9,18.4
2022-05-19,0.0,14.1,18.7
2022-05-20,0.0,14.3,18.9
2022-05-21,0.0,14.6,19.3
2022-05-22,0.0,14.8,19.5
2022-05-23,0.0,14.9,19.6
2022-05-24,0.0,15.1,19.8
2022-05-25,0.0,15.4,20.1
2022-05-26,0.0,15.6,20.5
2022-05-27,0.0,15.8,20.7
2022-05-28,0.0,16.0,21.0
2022-05-29,0.0,16.2,21.2
2022-05-30,0.0,16.3,21.2
2022-05-31,0.0,16.4,21.3
2022-06-01,0.0,16.5,21.4
2022-06-02,0.0,16.7,21.6
2022-06-03,0.0,16.8,21.9
2022-06-04,0.0,17.0,22.1
2022-06-05,0.0,17.2,22.2
2022-06-06,0.0,17.2,22.2
2022-06-07,0.0,17.4,22.4
2022-06-08,0.0,17.5,22.6
2022-06-09,0.0,17.7,22.8
2022-06-10,0.0,17.9,23.0
2022-06-11,0.0,18.0,23.2
2022-06-12,0.0,18.2,23.4
2022-06-13,0.0,18.3,23.4
2022-06-14,0.0,18.3,23.5
2022-06-15,0.0,18.5,23.7
2022-06-16,0.0,18.6,23.9
