Date,Administered_Dose1_Recip_5PlusPop_Pct,Additional_Doses_Vax_Pct,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus_Vax_Pct
2021-12-23,71.2,26.3,0.0,0.0,28.9,41.5,52.0
2021-12-24,71.2,26.3,0.0,0.0,28.9,41.5,52.0
2021-12-25,71.2,26.3,0.0,0.0,28.9,41.6,52.0
2021-12-26,71.2,26.3,0.0,0.0,28.9,41.6,52.0
2021-12-27,71.4,27.1,0.0,0.0,29.8,42.4,52.7
2021-12-28,71.5,27.3,0.0,0.0,30.0,42.7,52.9
2021-12-29,71.6,27.7,0.0,0.0,30.5,43.1,53.3
2021-12-30,71.7,28.1,0.0,0.0,30.9,43.6,53.6
2021-12-31,71.7,28.1,0.0,0.0,30.9,43.6,53.6
2022-01-01,71.7,28.1,0.0,0.0,30.9,43.6,53.6
2022-01-02,71.7,28.1,0.0,0.0,30.9,43.6,53.6
2022-01-03,72.0,28.9,0.0,0.0,31.8,44.5,54.3
2022-01-04,72.1,29.1,0.0,0.0,32.0,44.7,54.5
2022-01-05,72.2,29.4,0.0,0.0,32.4,45.0,54.8
2022-01-06,72.3,29.7,0.0,0.0,32.6,45.3,55.0
2022-01-07,72.4,30.0,0.0,0.0,33.0,45.7,55.3
2022-01-08,72.5,30.3,0.0,0.0,33.3,46.0,55.6
2022-01-09,72.6,30.6,0.0,0.0,33.6,46.3,55.8
2022-01-10,72.7,30.7,0.0,0.0,33.7,46.4,55.9
2022-01-11,72.8,30.9,0.0,0.0,33.9,46.6,56.0
2022-01-12,72.9,31.2,0.0,0.0,34.3,46.9,56.3
2022-01-13,73.0,31.5,0.0,0.0,34.6,47.2,56.5
2022-01-14,73.1,31.8,0.0,0.0,34.8,47.5,56.8
2022-01-15,73.2,32.1,0.0,0.0,35.1,47.7,57.0
2022-01-16,73.2,32.1,0.0,0.0,35.1,47.7,57.0
2022-01-17,73.2,32.1,0.0,0.0,35.1,47.8,57.0
2022-01-18,73.4,32.6,0.0,0.0,35.6,48.2,57.3
2022-01-19,74.0,32.7,0.0,0.0,35.7,48.3,57.4
2022-01-20,74.1,32.8,0.0,0.0,35.9,48.5,57.6
2022-01-21,74.1,32.9,0.0,0.0,35.9,48.5,57.6
2022-01-22,74.2,33.2,0.0,0.0,36.2,48.8,57.9
2022-01-23,74.3,33.3,0.0,0.0,36.4,49.0,58.0
2022-01-24,74.3,33.4,0.0,0.0,36.5,49.1,58.0
2022-01-25,74.4,33.6,0.0,0.0,36.6,49.2,58.1
2022-01-26,74.5,33.7,0.0,0.0,36.8,49.4,58.3
2022-01-27,74.6,33.8,0.0,34.7,36.9,49.5,58.3
2022-01-28,74.7,33.9,0.0,34.9,37.0,49.6,58.5
2022-01-29,74.7,34.1,0.0,35.0,37.1,49.8,58.6
2022-01-30,74.8,34.1,0.0,35.1,37.2,49.8,58.7
2022-01-31,74.9,34.2,0.0,35.2,37.3,49.9,58.8
2022-02-01,74.9,34.3,0.0,35.3,37.4,50.0,58.8
2022-02-02,75.0,34.4,0.0,35.4,37.5,50.2,58.9
2022-02-03,75.0,34.5,0.0,35.5,37.6,50.3,59.1
2022-02-04,75.1,34.6,0.0,35.6,37.7,50.4,59.2
2022-02-05,75.1,34.6,0.0,35.7,37.8,50.4,59.2
2022-02-06,75.2,34.7,0.0,35.7,37.8,50.5,59.3
2022-02-07,75.2,34.7,0.0,35.8,37.9,50.5,59.3
2022-02-08,75.2,34.8,0.0,35.9,38.0,50.6,59.3
2022-02-09,75.3,34.9,0.0,36.0,38.0,50.7,59.4
2022-02-10,75.3,34.9,0.0,36.0,38.1,50.8,59.5
2022-02-11,75.4,35.0,0.0,36.1,38.2,50.9,59.6
2022-02-12,75.5,35.1,0.0,36.2,38.3,51.0,59.7
2022-02-13,75.5,35.1,0.0,36.3,38.4,51.1,59.8
2022-02-14,75.5,35.2,0.0,36.3,38.4,51.1,59.8
2022-02-15,75.6,35.2,0.0,36.4,38.5,51.2,59.9
2022-02-16,75.6,35.3,0.0,36.5,38.5,51.3,60.0
