vaccine_time,vaccine_amount,A1-R1,A1-R2,A5-R1,A5-R2,A4-R1,A4-R2,A3-R1,A3-R2,A2-R1,A2-R2
12/15/2021,,0,0,,,,,,,,
12/16/2021,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/17/2021,0.004768155090761036,0,0,330.40000000000003,259.6,1007.2999999999997,431.69999999999993,2973.2999999999997,524.6999999999999,0.0,0.0
12/18/2021,0.0035793842843884253,0,0,268.8,211.2,765.8,328.2,2130.1,375.9,0.0,0.0
12/19/2021,0.004155315289545661,0,0,271.04,212.96,912.0999999999999,390.9,2529.6,446.4,0.0,0.0
12/20/2021,0.001707031817689002,0,0,93.52000000000001,73.48,354.9,152.1,1125.3999999999999,198.6,0.0,0.0
12/21/2021,0.0023613940144697858,0,0,151.76000000000002,119.24,432.6000000000001,185.40000000000003,1533.3999999999999,270.59999999999997,0.0,0.0
12/22/2021,0.005095720655777034,0,0,312.48,245.52,977.9,419.09999999999997,3323.5,586.5,0.0,0.0
12/23/2021,0.005387146357986102,0,0,364.56000000000006,286.44,1071.7,459.3,3308.2,583.8,0.0,0.0
12/24/2021,3.229519655087301e-05,0,0,3.3600000000000003,2.64,0.7,0.3,24.65,4.35,0.0,0.0
12/25/2021,6.1514660096900965e-06,0,0,0.0,0.0,0.7,0.3,5.95,1.05,0.0,0.0
12/26/2021,3.84466625605631e-06,0,0,0.0,0.0,0.0,0.0,4.25,0.75,0.0,0.0
12/27/2021,0.007477106934778313,0,0,494.48000000000013,388.52000000000004,1521.8,652.1999999999999,4480.349999999999,790.65,0.0,0.0
12/28/2021,0.0016624336891187487,0,0,120.4,94.6,310.09999999999997,132.9,1007.25,177.75,0.0,0.0
12/29/2021,0.0038469730558099444,0,0,239.68000000000004,188.32,779.8,334.2,2387.65,421.34999999999997,0.0,0.0
12/30/2021,0.0037154854698528187,0,0,252.00000000000003,198.0,727.3,311.7,2289.0499999999997,403.95,0.0,0.0
12/31/2021,1.460973177301398e-05,0,0,1.12,0.88,2.0999999999999996,0.8999999999999999,10.2,1.7999999999999998,0.0,0.0
01/01/2022,5.382532758478835e-06,0,0,0.0,0.0,0.7,0.3,5.1,0.8999999999999999,0.0,0.0
01/02/2022,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/03/2022,0.0070987917751823715,0,0,434.00000000000006,341.0,1433.5999999999997,614.3999999999999,4343.5,766.5,0.0,0.0
01/04/2022,0.0016124530277900166,0,0,118.16000000000001,92.84,315.0,135.0,933.3000000000002,164.70000000000002,0.0,0.0
01/05/2022,0.0027473985065778394,0,0,183.68,144.32,533.4,228.6,1631.1499999999999,287.84999999999997,0.0,0.0
01/06/2022,0.002115335374082182,0,0,138.32000000000002,108.68,389.2,166.79999999999998,1326.85,234.14999999999998,0.0,0.0
01/07/2022,0.0029011851568200918,0,0,187.60000000000002,147.4,583.8,250.2,1718.7,303.3,0.0,0.0
01/08/2022,0.003129558332429837,0,0,194.88000000000002,153.12,549.5,235.5,1838.55,324.45,0.0,0.0
01/09/2022,0.0023075686868849975,0,0,106.96000000000001,84.04,401.09999999999997,171.9,1422.05,250.95,0.0,0.0
01/10/2022,0.0015063402391228625,0,0,65.52000000000001,51.48,244.29999999999998,104.7,872.9499999999999,154.04999999999998,0.0,0.0
01/11/2022,0.0016947288856696216,0,0,103.04,80.96,284.9,122.1,863.6,152.4,0.0,0.0
01/12/2022,0.002881192892288599,0,0,172.48000000000002,135.52,484.4,207.6,1615.0,285.0,0.0,0.0
01/13/2022,0.0031472437972076958,0,0,203.28000000000003,159.72,576.8,247.2,1814.75,320.25,0.0,0.0
01/14/2022,0.0026743498477127697,0,0,178.64000000000004,140.36,445.2,190.79999999999998,1490.8999999999999,263.09999999999997,0.0,0.0
01/15/2022,0.0021822325669375617,0,0,122.08000000000001,95.92,359.09999999999997,153.9,1231.6499999999999,217.35,0.0,0.0
01/16/2022,7.68933251211262e-06,0,0,0.0,0.0,1.4,0.6,5.95,1.05,0.0,0.0
01/17/2022,8.458265763323884e-06,0,0,0.0,0.0,0.0,0.0,7.6499999999999995,1.3499999999999999,1.8,0.2
01/18/2022,0.00501421373114864,0,0,211.67999999999998,166.31999999999996,750.3999999999997,321.5999999999999,2725.1,480.9,0.0,0.0
01/19/2022,0.002429060140576377,0,0,128.8,101.2,391.29999999999995,167.7,1278.3999999999999,225.6,0.0,0.0
01/20/2022,0.002044593514970746,0,0,146.72000000000003,115.28,336.0,144.0,1139.0,201.0,0.0,0.0
01/21/2022,1.076506551695767e-05,0,0,1.6800000000000002,1.32,0.7,0.3,5.1,0.8999999999999999,0.0,0.0
01/22/2022,0.003136478731690738,0,0,202.72000000000003,159.28,531.3,227.7,1764.6,311.4,0.0,0.0
01/23/2022,0.0020076847189126053,0,0,103.04,80.96,308.7,132.29999999999998,1104.1499999999999,194.85,0.0,0.0
01/24/2022,0.0009304092339656271,0,0,32.480000000000004,25.52,129.5,55.5,481.09999999999997,84.89999999999999,37.800000000000004,4.2
01/25/2022,0.0011472484108072032,0,0,70.0,55.0,189.7,81.3,612.85,108.14999999999999,0.0,0.0
01/26/2022,0.0014063789164653984,0,0,91.28000000000002,71.72,243.6,104.39999999999999,795.6,140.4,0.0,0.0
01/27/2022,0.0012487475999670896,0,0,94.08000000000001,73.92,227.49999999999997,97.5,656.1999999999999,115.8,0.0,0.0
